ecg (ms)	filtered ecg (ms2)
-0.0018312	0.0000044
-0.0054935	0.0000046
-0.0045779	0.0000048
-0.0115974	0.000005
-0.0115974	0.0000051
-0.0180065	0.0000053
-0.0207532	0.0000054
-0.0268571	0.0000054
-0.0296039	0.0000054
-0.0363181	0.0000053
-0.0378441	0.0000053
-0.0421168	0.0000053
-0.0375389	0.0000053
-0.0357077	0.0000053
-0.0253311	0.0000054
-0.020448	0.0000054
-0.010987	0.0000053
-0.0097662	0.0000053
-0.0042727	0.0000053
-0.0085454	0.0000052
-0.0103766	0.0000052
-0.020448	0.0000053
-0.0247207	0.0000053
-0.0341818	0.0000052
-0.0375389	0.0000051
-0.0436428	0.000005
-0.0418116	0.0000048
-0.042422	0.0000047
-0.0393701	0.0000046
-0.0369285	0.0000045
-0.0320454	0.0000044
-0.031435	0.0000043
-0.0280779	0.0000043
-0.0299091	0.0000043
-0.0299091	0.0000043
-0.032961	0.0000043
-0.0286883	0.0000044
-0.0317402	0.0000044
-0.0274675	0.0000045
-0.0271623	0.0000046
-0.021974	0.0000048
-0.0222792	0.000005
-0.0225844	0.0000052
-0.0262467	0.0000054
-0.0244156	0.0000056
-0.0268571	0.0000059
-0.0225844	0.0000061
-0.0146493	0.0000064
-0.0088506	0.0000066
-0.0030519	0.0000067
0.0036623	0.0000067
0.0048831	0.0000067
0.0112922	0.0000067
0.0134286	0.0000066
0.0170909	0.0000065
0.0164805	0.0000064
0.0158701	0.0000063
0.0137337	0.0000063
0.0131234	0.0000063
0.012513	0.0000064
0.0140389	0.0000065
0.0152597	0.0000066
0.0167857	0.0000068
0.0189221	0.000007
0.0216688	0.0000072
0.0238052	0.0000074
0.0280779	0.0000076
0.0320454	0.0000078
0.0369285	0.0000079
0.0405909	0.000008
0.0445584	0.0000081
0.0482207	0.0000082
0.0497467	0.0000083
0.0503571	0.0000085
0.0491363	0.0000087
0.0476103	0.0000089
0.0451688	0.0000092
0.042422	0.0000096
0.0393701	0.0000099
0.0387597	0.0000103
0.0338766	0.0000107
0.0305194	0.000011
0.0231948	0.0000113
0.0207532	0.0000116
0.0128182	0.0000118
0.0103766	0.000012
0.0042727	0.0000121
0.0057987	0.0000122
0.0021364	0.0000123
0.0006104	0.0000124
-0.0067143	0.0000125
-0.0097662	0.0000126
-0.0164805	0.0000127
-0.0167857	0.000013
-0.0167857	0.0000132
-0.0134286	0.0000136
-0.0128182	0.000014
-0.0073247	0.0000146
-0.0088506	0.0000152
-0.0073247	0.0000159
-0.0122078	0.0000167
-0.0122078	0.0000176
-0.0177013	0.0000186
-0.0161753	0.0000197
-0.0189221	0.000021
-0.0161753	0.0000223
-0.021974	0.0000238
-0.0180065	0.0000255
-0.0207532	0.0000273
-0.0161753	0.0000293
-0.0152597	0.0000314
-0.009461	0.0000338
-0.0097662	0.0000363
-0.0051883	0.000039
-0.0088506	0.000042
-0.0082402	0.0000453
-0.0137337	0.0000488
-0.0115974	0.0000526
-0.0134286	0.0000568
-0.0076299	0.0000613
-0.0073247	0.0000661
-0.0024416	0.0000714
-0.0027467	0.0000771
-0.001526	0.0000833
-0.0073247	0.0000901
-0.0061039	0.0000973
-0.0103766	0.0001052
-0.0073247	0.0001137
-0.0076299	0.0001229
-0.0009156	0.0001328
0.0018312	0.0001436
0.009461	0.0001552
0.0100714	0.0001678
0.0134286	0.0001814
0.0091558	0.0001961
0.0057987	0.000212
-0.001526	0.0002292
-0.0042727	0.0002478
-0.0128182	0.0002678
-0.0131234	0.0002895
-0.0201428	0.0003128
