AR	NL
1.0025865	0.1475734
1.0241637	0.0003303
1.0278501	0.9081205
1.0500667	0.7801406
1.1354445	0.6714758
1.149207	0.7750326
1.1492115	0.8417108
1.1523924	0.997037
1.1528348	0.024428
1.1618622	0.3361315
1.1676645	0.6616067
1.1738216	0.0176898
1.1745878	0.8235299
1.1749822	0.6617338
1.1751212	0.8276681
1.1774501	0.7073611
1.1828902	0.9848449
1.1830524	0.85122
1.1849846	0.8054316
1.1954701	0.6469951
1.1961042	0.6253795
1.1966925	0.6453293
1.202061	0.6361609
1.2130047	0.6805624
1.2168636	0.8607988
1.2240281	0.8123035
1.2259245	0.0018482
1.2302442	0.6298418
1.2307627	0.8744204
1.234074	0.7802146
1.2347849	0.5837842
1.2412789	0.843288
1.2451508	0.7452367
1.2531088	0.7398169
1.2541301	0.0037102
1.2564448	0.0009295
1.2582163	0.8861839
1.2585092	0.7495499
1.2654865	0.6722155
1.2685235	0.7565398
1.2707331	0.7968105
1.2712186	0.5497216
1.2763929	0.4428544
1.2787876	0.8105721
1.2812003	0.5781313
1.2832985	0.7403353
1.2925552	0.7498448
1.3113023	0.9454408
1.3165039	0.408292
1.3211523	0.4583783
1.3227439	0.3500058
1.3331448	0.6954571
1.3334852	0.0013086
1.3372501	0.0009847
1.3386523	0.0155646
1.34186	0.9391794
1.342957	0.7073996
1.3444966	0.0045658
1.346498	0.4175957
1.3475477	0.7589884
1.35204	0.5884782
1.3530826	0.5915493
1.3561638	0.7659785
1.3613129	0.664295
1.3623183	0.411849
1.3637934	0.7991053
1.3639374	0.8635351
1.3665778	0.8471904
1.368602	0.7780011
1.3690201	0.8642536
1.3754763	0.8267991
1.3787555	0.9248804
1.3829889	0.6504029
1.3863342	0.7671641
1.386627	0.3887313
1.3875593	0.3432755
1.3880321	0.8711086
1.3885333	0.3282067
1.3905464	0.626694
1.3935909	0.3410507
1.3982605	0.4173704
1.3992464	0.840011
1.4089253	0.4425849
1.4106906	0.5457909
1.4126752	0.2691409
1.4127972	0.0255486
1.4141816	0.738576
1.414632	0.5949717
1.4168882	0.2944978
1.416974	0.6003715
1.4173787	0.2700198
1.419521	0.6069164
1.4232159	0.8458142
1.4294469	0.6440914
1.4311502	0.3536592
1.4313019	0.3113592
1.4379587	0.3894263
1.4393479	0.6012896
1.44038	0.7824745
1.4406225	0.542773
1.4428802	0.3319553
1.4439046	0.3058928
1.4475822	0.5497185
1.4583859	0.4895908
1.4592718	0.9684256
1.4649615	0.2802193
1.470417	0.8249991
1.4708389	0.3108723
1.472934	0.3409961
1.477139	0.0513377
1.4987464	0.3196869
1.5000302	0.2610369
1.5014637	0.9203222
1.5018338	0.3000295
1.502419	0.6675441
1.5024244	0.8524832
1.5093791	0.0462346
1.5114655	0.4289697
1.5150261	0.2745585
1.515608	0.4081127
1.5156293	0.5815518
1.5166677	0.7652489
1.5231038	0.6529913
1.525305	0.2144229
1.5292	0.4347154
1.5309807	0.5142503
1.5419142	0.2548435
1.5444382	0.5393439
1.5472082	0.424237
1.5491469	0.7504
1.5499695	0.6089566
1.555006	0.2648246
1.5597543	0.7072856
1.5720044	0.8050775
1.572141	0.944982
1.5731647	0.35376
1.5796881	0.6507541
1.5839325	0.4749337
1.5864205	0.3933648
1.58932	0.4817491
1.5897421	0.2601908
1.5903119	0.3316536
1.5916336	0.9538826
1.5943086	0.7885337
1.5945214	0.5667919
1.5984812	0.399396
1.5989322	0.8212612
1.6010728	0.2974758
1.6052283	0.2488793
1.6124085	0.4045798
1.6131346	0.5474598
1.6245572	0.4138562
1.6277141	0.6702828
1.6319472	0.6512827
1.6325048	0.4034394
1.6346016	0.5668977
1.6369642	0.4606953
1.6424624	0.0022603
1.6504032	0.576192
1.6510607	0.2846604
1.6525448	0.3634937
1.652866	0.8249231
1.655801	0.7012606
1.6619948	0.4546944
1.6648145	0.3626921
1.6699147	0.8107425
1.6712407	0.4070311
1.6716213	0.9600323
1.6916668	0.4960192
1.6950543	0.414841
1.6988354	0.2389453
1.7014401	0.6548422
1.7033396	0.255996
1.7248282	0.3226488
1.7277383	0.0045353
1.737069	0.6720413
1.7458944	0.306835
1.7470258	0.2893759
1.7483498	0.2075358
1.7532954	0.3205947
1.7536648	0.156131
1.7612242	0.6186704
1.7625881	0.3417048
1.7626212	0.9889093
1.7630284	0.9137108
1.7663514	0.7568998
1.7735626	0.4765901
1.7735698	0.8386604
1.7785417	0.7423709
1.7797917	0.2912059
1.7808855	0.6940907
1.7869654	0.5099183
1.789627	0.9892515
1.7926474	0.8362304
1.7961874	0.408624
1.7964479	0.8377784
1.8037346	0.788114
1.8053353	0.5654983
1.8101049	0.8575842
1.8119506	0.4035799
1.8140408	0.5994951
1.819291	0.7709549
1.8216158	0.6038145
1.8219354	0.9192758
1.822182	0.5000645
1.8242115	0.0070052
1.8280562	0.3612031
1.8291907	0.2657075
1.8372045	0.713662
1.8375864	0.8659389
1.8382652	0.2446624
1.8418106	0.1906509
1.8421711	0.5037671
1.8423893	0.1538719
1.8437297	0.4142616
1.8498181	0.5634063
1.8518842	0.2860202
1.8594098	0.1631477
1.8688703	0.3205347
1.8703248	0.0099554
1.8810331	0.1309024
1.8853851	0.5224365
1.8857602	0.3974172
1.8887437	0.1439745
1.8944212	0.8210578
1.8997834	0.1350253
1.9018871	0.5957902
1.9029727	0.2663446
1.9056887	0.2737401
1.9103478	0.2837883
1.9127686	0.7408221
1.9154306	0.8661244
1.9181047	0.126429
1.9265166	0.7048944
1.936363	0.0054971
1.9379891	0.7032438
1.9404484	0.3095986
1.9497243	0.1510135
1.9552224	0.999638
1.9581004	0.4431888
1.961505	0.1455867
1.9631947	0.0023963
1.9637316	0.7251925
1.9793516	0.1642959
1.9840302	0.7854626
1.9876953	0.2672734
1.9889601	0.2688257
1.9901391	0.0097469
1.9915881	0.3412858
1.9920429	0.1581716
1.9962582	0.2745975
2.0067399	0.228376
2.0135637	0.0340006
2.0178799	0.6105157
2.0211495	0.1171798
2.0238652	0.8045785
2.0261943	0.9357847
2.027384	0.1887387
2.034847	0.006837
2.0376232	0.9564594
2.0389837	0.1835102
2.043528	0.3676306
2.0438448	0.6984032
2.044047	0.7434782
2.050648	0.4644605
2.0521119	0.6954594
2.0591609	0.6158756
2.0599117	0.7074168
2.0616271	0.3570458
2.0667769	0.5188123
2.0701796	0.758931
2.0737156	0.5673402
2.0741753	0.9878675
2.0766315	0.0044574
2.0804475	0.1715346
2.0855107	0.6009046
2.0857922	0.5038706
2.0895509	0.8729233
2.1006654	0.4822255
2.1031119	0.2747419
2.1073323	0.4014767
2.1088197	0.5849932
2.109348	0.9833439
2.1132831	0.5420756
2.1161171	0.6892071
2.1212033	0.4724264
2.1217099	0.2880442
2.1229739	0.2163932
2.1247457	0.4468887
2.1280872	0.6117384
2.1326994	0.2923993
2.1347927	0.5903454
2.1409303	0.3771319
2.1416318	0.6202269
2.1435906	0.4495315
2.1494696	0.1678042
2.1594684	0.7530835
2.1667543	0.655505
2.1671437	0.4622723
2.1678354	0.4922241
2.168339	0.8518276
2.1749709	0.4232431
2.1767339	0.1034628
2.1769732	0.1081381
2.1780243	0.159772
2.1798841	0.397635
2.1807665	0.6301947
2.1861988	0.730154
2.1862805	0.1217869
2.1870707	0.413579
2.1924663	0.2358099
2.1936997	0.8790437
2.1972006	0.7899414
2.1987144	0.2060917
2.1990175	0.7691576
2.2044581	0.3053528
2.2095133	0.1368911
2.2122696	0.6013343
2.2176924	0.6467595
2.2189625	0.3102759
2.221843	0.3463299
2.2228975	0.5572282
2.225837	0.5335837
2.2281516	0.1495292
2.2297219	0.3457128
2.2297245	0.9129449
2.2301458	0.4650691
2.2355656	0.2510235
2.2364748	0.9526746
2.2488934	0.1507262
2.2500619	0.2442389
2.2520474	0.7372815
2.2619112	0.7249537
2.2632643	0.146086
2.2778203	0.4621908
2.2860284	0.5256648
2.2897353	0.5538601
2.2982456	0.361436
2.2987865	0.4250411
2.3014222	0.2234481
2.3029726	0.8668396
2.3059502	0.4359938
2.3108677	0.7620417
2.3131492	0.4548627
2.3138112	0.5788107
2.3165135	0.6674507
2.3171621	0.9868008
2.3172689	0.8779757
2.3213381	0.4726858
2.3222787	0.4691174
2.3291776	0.8845108
2.3310695	0.6954497
2.3324302	0.5039709
2.3328144	0.4289167
2.3330324	0.8729773
